Mileage,X_local,Y_local,Z_crown
2097.0,2209.99619196068,4647.739948109458,222.598
2098.0,2209.0543826716785,4647.403800428891,222.597
2099.0,2208.1125733826702,4647.067652748343,222.596
2100.0,2207.1707640936465,4646.731505067838,222.595
2101.0,2206.2289548046224,4646.395357387334,222.594
2102.0,2205.2871455155987,4646.05920970683,222.59300000000002
2103.0,2204.345336226575,4645.723062026325,222.592
2104.0,2203.403526937551,4645.386914345821,222.591
2105.0,2202.461717648527,4645.0507666653175,222.59
2106.0,2201.519908359502,4644.714618984815,222.589
2107.0,2200.5780990704775,4644.378471304314,222.588
2108.0,2199.6362897814524,4644.042323623813,222.58700000000002
2109.0,2198.694480492428,4643.706175943312,222.586
2110.0,2197.7526712034028,4643.370028262811,222.585
2111.0,2196.8108619143777,4643.033880582309,222.584
2112.0,2195.869052625643,4642.697732900996,222.583
2113.0,2194.927243337129,4642.361585219062,222.582
2114.0,2193.9854340486154,4642.025437537129,222.58100000000002
2115.0,2193.0436247601015,4641.689289855196,222.58
2116.0,2192.101815471588,4641.353142173262,222.579
2117.0,2191.160006183074,4641.016994491329,222.578
2118.0,2190.2181968944533,4640.680846809694,222.577
2119.0,2189.2763876054287,4640.344699129193,222.576
2120.0,2188.3345783164036,4640.008551448692,222.57500000000002
2121.0,2187.392769027379,4639.672403768191,222.574
2122.0,2186.450959738354,4639.336256087689,222.573
2123.0,2185.509150449329,4639.000108407188,222.572
2124.0,2184.5673411603043,4638.663960726687,222.571
2125.0,2183.6255318712792,4638.327813046185,222.57
2126.0,2182.683722582254,4637.991665365684,222.56900000000002
2127.0,2181.7419132932296,4637.6555176851825,222.568
2128.0,2180.8001040042045,4637.319370004681,222.567
2129.0,2179.85829471518,4636.98322232418,222.566
2130.0,2178.916485426155,4636.647074643679,222.565
2131.0,2177.9746761373726,4636.310926962497,222.564
2132.0,2177.0328668488405,4635.974779280616,222.56300000000002
2133.0,2176.091057560308,4635.638631598735,222.562
2134.0,2175.149248271776,4635.302483916853,222.561
2135.0,2174.2074389832433,4634.966336234972,222.56
2136.0,2173.265629694711,4634.630188553091,222.559
2137.0,2172.323820406112,4634.294040871396,222.558
2138.0,2171.3820111170885,4633.957893190891,222.55700000000002
2139.0,2170.4402018280643,4633.621745510387,222.556
2140.0,2169.4983925390407,4633.285597829883,222.555
2141.0,2168.556583250017,4632.949450149378,222.554
2142.0,2167.614773960993,4632.613302468874,222.553
2143.0,2166.672964671969,4632.27715478837,222.552
2144.0,2165.7311553829445,4631.941007107868,222.55100000000002
2145.0,2164.7893460939194,4631.604859427367,222.55
2146.0,2163.8475368048944,4631.268711746866,222.549
2147.0,2162.90572751587,4630.932564066365,222.548
2148.0,2161.9639182268447,4630.5964163858625,222.547
2149.0,2161.02210893782,4630.260268705361,222.546
2150.0,2160.0802996487955,4629.924121024859,222.54500000000002
2151.0,2159.1384903597714,4629.587973344354,222.544
2152.0,2158.1966810707477,4629.2518256638505,222.543
2153.0,2157.254871781724,4628.9156779833465,222.542
2154.0,2156.3130624927,4628.579530302843,222.541
2155.0,2155.371253203676,4628.243382622338,222.54000000000002
2156.0,2154.4294439146834,4627.9072349417465,222.53900000000002
2157.0,2153.4876346261685,4627.571087259816,222.538
2158.0,2152.5458253376537,4627.234939577886,222.537
2159.0,2151.6040160491393,4626.898791895955,222.536
2160.0,2150.6622067606245,4626.562644214025,222.535
2161.0,2149.7203974721097,4626.226496532094,222.53400000000002
2162.0,2148.778588183595,4625.890348850163,222.53300000000002
2163.0,2147.836778894721,4625.554201169238,222.532
2164.0,2146.8949696056966,4625.218053488737,222.531
2165.0,2145.9531603166715,4624.881905808235,222.53
2166.0,2145.0113510276465,4624.545758127734,222.529
2167.0,2144.069541738622,4624.209610447232,222.52800000000002
2168.0,2143.127732449597,4623.873462766731,222.52700000000002
2169.0,2142.1859231605804,4623.537315086206,222.526
2170.0,2141.24411387158,4623.2011674056375,222.525
2171.0,2140.302304582579,4622.865019725068,222.524
2172.0,2139.3604952935784,4622.528872044499,222.523
2173.0,2138.4186860045775,4622.192724363929,222.52200000000002
2174.0,2137.476876715577,4621.856576683361,222.52100000000002
